日期,紧急购电时间段,紧急购电量_kWh
2025-03-20,0:20-0:30,16.035142189291037
2025-03-20,1:00-1:30,52.3573667049327
2025-03-20,3:00-3:30,42.049214278138265
2025-03-20,4:30-4:40,3.647067525790021
2025-03-20,5:00-5:10,2.6728598589872945
2025-03-20,5:50-6:10,101.1304381541546
2025-03-20,14:40-15:00,40.02960430950439
2025-03-20,15:20-16:10,258.52855578662775
2025-03-20,16:50-17:10,8.90940516235571
2025-03-20,18:10-18:20,0.06198861753944129
2025-03-20,18:50-19:10,18.31438759201592
2025-03-20,19:40-19:50,1.0834719384540676
2025-03-20,20:10-20:20,4.225653335133188
2025-03-20,21:10-21:50,52.85932356090268
2025-03-20,23:30-0:00+1,46.078900495765765
2025-06-21,1:20-1:30,33.708046827715634
2025-06-21,2:00-2:10,10.471708925597795
2025-06-21,2:50-3:30,73.36476858562094
2025-06-21,5:00-5:20,34.48990289305982
2025-06-21,5:40-6:20,120.09157329315659
2025-06-21,21:20-21:30,1.765779793540446
2025-09-23,0:50-1:10,19.639776163563283
2025-09-23,4:50-5:00,8.181876868288214
2025-09-23,5:10-5:20,11.08770834761981
2025-09-23,5:30-7:00,261.7973648312567
2025-09-23,7:30-11:00,1458.8612830497493
2025-09-23,12:10-12:20,41.02816050226414
2025-09-23,14:10-14:20,8.390070222079203
2025-09-23,14:30-15:00,113.4654866591596
2025-09-23,15:10-15:20,5.066910113996414
2025-09-23,15:50-17:50,945.6832723195358
2025-12-21,1:10-1:20,22.5357726608745
2025-12-21,3:00-3:10,40.559677570527356
2025-12-21,3:30-3:50,154.38300081957573
2025-12-21,6:10-6:30,14.998261631672108
2025-12-21,7:50-8:00,0.6107366621015444
2025-12-21,16:50-17:00,1.4662916291183592
2025-12-21,17:20-17:40,41.33385761865179
2025-12-21,19:50-20:00,44.382587008231326
